Team,Budget_Status,Player,Action,Contract_Value,Contract_Type,Fit_Reason,Archetypes,Score
UTA,Over Cap (MLE/Min only),Larry Nance Jr.,Sign (Cap Space/MLE),"$3,634,153",Minimum/Low,Defensive Fit,"Elite Cutter, Elite Roll Man, Post Up / Guards C (High Rebounding)",1
UTA,Over Cap (MLE/Min only),Doug McDermott,Sign (Cap Space/MLE),"$3,634,153",Minimum/Low,Defensive Fit,Unknown / Guards SF (),1
TOR,Over Cap (MLE/Min only),Doug McDermott,Sign (Cap Space/MLE),"$3,634,153",Minimum/Low,Defensive Fit,Unknown / Guards SF (),1
TOR,Over Cap (MLE/Min only),Spencer Dinwiddie,Sign (Cap Space/MLE),"$3,634,153",Minimum/Low,Defensive Fit,"Elite Iso, Elite Usage, High Playmaking / Guards SF ()",1
TOR,Over Cap (MLE/Min only),Seth Curry,Sign (Cap Space/MLE),"$3,634,153",Minimum/Low,Defensive Fit,"Elite Off-Screen, Spot Up, Transition / Guards SF ()",1
TOR,Over Cap (MLE/Min only),Sandro Mamukelashvili,Re-sign (Bird Rights),"$2,631,405",Minimum/Low,Defensive Fit,"High Spot Up, Transition / Versatile",1
TOR,Over Cap (MLE/Min only),Chris Boucher,Sign (Cap Space/MLE),"$3,287,409",Minimum/Low,Defensive Fit,"High Spot Up, Transition / Versatile",1
TOR,Over Cap (MLE/Min only),Trendon Watford,Sign (Cap Space/MLE),"$2,631,405",Minimum/Low,Defensive Fit,"Elite P&R Handler, High Playmaking, High Usage / Versatile",1
PHI,Over Cap (MLE/Min only),Kyle Lowry,Re-sign (Bird Rights),"$3,634,153",Minimum/Low,Defensive Fit,"P&R Handler, Transition, Spot Up / Guards SF ()",1
PHI,Over Cap (MLE/Min only),Eric Gordon,Re-sign (Bird Rights),"$3,634,153",Minimum/Low,Defensive Fit,"High Spot Up, Transition / Guards SF ()",1
PHI,Over Cap (MLE/Min only),Trendon Watford,Re-sign (Bird Rights),"$2,631,405",Minimum/Low,Defensive Fit,"Elite P&R Handler, High Playmaking, High Usage / Versatile",1
PHI,Over Cap (MLE/Min only),Bismack Biyombo,Sign (Cap Space/MLE),"$3,634,153",Minimum/Low,Defensive Fit,Balanced / Low Usage Role / Anchor Big / Rim Protector,1
CHA,Over Cap (MLE/Min only),Ryan Rollins,Sign (Cap Space/MLE),"$4,000,000",Minimum/Low,Defensive Fit,"P&R Handler, Transition, Spot Up / Guards PG (High Disruptor)",1
CHA,Over Cap (MLE/Min only),Gary Harris,Sign (Cap Space/MLE),"$3,725,007",Minimum/Low,Defensive Fit,"Elite Off-Screen, Spot Up, Transition / Guards PG (High Disruptor)",1
CHA,Over Cap (MLE/Min only),Cameron Payne,Sign (Cap Space/MLE),"$3,634,153",Minimum/Low,Defensive Fit,"Elite P&R Handler, High Playmaking, High Usage / Guards PG (High Disruptor)",1
CHA,Over Cap (MLE/Min only),Mason Plumlee,Re-sign (Bird Rights),"$3,634,153",Minimum/Low,Defensive Fit,"Elite Cutter, Elite Roll Man, Post Up / Anchor Big / Rim Protector",1
CHA,Over Cap (MLE/Min only),Bismack Biyombo,Sign (Cap Space/MLE),"$3,634,153",Minimum/Low,Defensive Fit,Balanced / Low Usage Role / Anchor Big / Rim Protector,1
CHA,Over Cap (MLE/Min only),Alex Len,Sign (Cap Space/MLE),"$3,634,153",Minimum/Low,Defensive Fit,Unknown / Anchor Big / Rim Protector,1
CHA,Over Cap (MLE/Min only),Chris Boucher,Sign (Cap Space/MLE),"$3,287,409",Minimum/Low,Defensive Fit,"High Spot Up, Transition / Versatile",1
CHA,Over Cap (MLE/Min only),Sandro Mamukelashvili,Sign (Cap Space/MLE),"$2,631,405",Minimum/Low,Defensive Fit,"High Spot Up, Transition / Versatile",1
CHA,Over Cap (MLE/Min only),Trendon Watford,Sign (Cap Space/MLE),"$2,631,405",Minimum/Low,Defensive Fit,"Elite P&R Handler, High Playmaking, High Usage / Versatile",1
PHX,Over Cap (MLE/Min only),Bismack Biyombo,Sign (Cap Space/MLE),"$3,634,153",Minimum/Low,Defensive Fit,Balanced / Low Usage Role / Anchor Big / Rim Protector,1
